id,source,vulnerability,risk_score
0cbfdf65-8742-4fb8-86ae-91fe63e58285,230.240.158.17,VMware ESX / ESXi Multiple Vulnerabilities (VMSA-2012-0005) (BEAST) (remote check),58
a02974fd-1182-41bd-b251-d8a8be7b52eb,10.128.35.79,Account Takeover via Forgot Password,16
a1d43f6c-319c-489f-bbe6-9712955365b1,247.41.39.120,Oracle WebLogic Server Plug-in Remote Overflow (1166189),69
2fe5acde-f04b-4016-85e9-d0f6209a582d,171.214.205.244,Unsupported Cisco Operating System,73
45de1f0a-6ed0-49a3-b9fd-ac97a16f75dc,194.26.184.38,Bind Shell Backdoor Detection,19
f187dab8-9687-4a2f-b548-17cd45c76b17,211.211.214.136,Unsupported Cisco Operating System,1
266e4836-dffc-44ec-8ab8-0ee0ea57f0fc,247.41.39.120,Mozilla Firefox < 84.0,87
decc1ebb-a2b1-472f-b311-cfd0dd780ae4,50.255.144.198,Unsupported Cisco Operating System,13
d51d17f7-a9a0-471e-9ad4-754099dd58c5,234.130.35.103,Apache OpenOffice < 4.1.8 Arbitrary Code Execution,12
50f48bf3-b2d3-4a6f-ba33-0058cf94ea5b,174.30.81.201,Exposure of Application source code config files and credentials,64
03501560-a56b-4727-baf0-a3f3312ebf0b,244.88.127.199,Exposure of Application source code config files and credentials,1
11211c7f-cc4f-4ddb-92a2-0b39633df186,15.121.227.60,Oracle WebLogic Server mod_wl Invalid Parameter Remote Overflow (1150354),38
035bce73-68ac-44b3-9d40-91d64fd48c17,133.55.115.90,Oracle WebLogic Server mod_wl POST Request Remote Overflow,48
4c71046d-b576-4443-8a81-e70f67296e1b,58.96.118.146,KB4586805: Windows 7 and Windows Server 2008 R2 November 2020 Security Update,66
0bd86635-6dd5-4cc4-9440-80496888354c,237.62.251.21,Oracle Error Log Found,69
0a470611-ea6e-4b02-8d11-fde99465a348,201.10.141.151,OpenSSL 1.0.2 < 1.0.2x Null Pointer Dereference Vulnerability,55
6c3875bc-34bf-4414-86a9-e1513fa54b8e,134.164.219.117,Microsoft Windows 95/98/ME Unsupported Installation Detection,12
9499fb4a-885a-4f6a-9748-ea4bdb0dc190,173.78.199.190,VMware ESX / ESXi Multiple Vulnerabilities (VMSA-2012-0005) (BEAST) (remote check),13
4f52b23f-8cea-488c-97d2-e20d89ab3ad2,134.164.219.117,Oracle WebLogic Server Plug-in Remote Overflow (1166189),36
a019b72b-ac0c-483e-af12-3b69d99fd370,251.68.88.39,Google Chrome < 87.0.4280.88 Multiple Vulnerabilities,48
06e338c7-6a2d-4ed9-941a-4428203fcb0d,205.204.5.194,VMware ESX / ESXi Multiple Vulnerabilities (VMSA-2012-0005) (BEAST) (remote check),89
25891069-abb5-47e4-9a01-42e3275ea349,92.222.219.30,NTMail3 Arbitrary Mail Relay,34
53e93ce5-f379-416d-ac5e-1ede67806398,174.179.40.224,Password Spraying Attack,52
2cb055a1-b54e-46d1-8906-bcf39d56d9c2,112.133.16.254,Google Chrome < 87.0.4280.88 Multiple Vulnerabilities,10
a00693d3-532b-4e27-8d5c-ef164751de04,118.151.172.176,JBoss Java Object Deserialization RCE,94
0b8cf6fa-5f22-458d-b8bb-2c9fab6c4735,88.253.242.192,Apache Struts2 Remote Command Execution,39
edb1d8be-b204-4519-88be-68d18cc2b143,58.96.118.146,Docker remote API detection,1
248a010c-25d6-4d59-ad76-9c8ca0849afb,136.113.20.114,Unrestricted File Upload,99
fe0c4b13-2bd5-4ab6-a61e-389a0fe24885,42.240.26.60,KB4586823: Windows 8.1 and Windows Server 2012 R2 November 2020 Security Update,30
bb2ab568-c334-492a-bd24-ff10acefaf58,136.113.20.114,NTMail3 Arbitrary Mail Relay,24
7862304f-5554-41eb-84ef-851b91d40600,112.133.16.254,Account Takeover via Forgot Password,53
db746b0f-8d02-432f-bba5-da448d2266c6,30.204.122.113,Oracle WebLogic Server mod_wl POST Request Remote Overflow,63
1ff04ffc-c166-48bd-acb8-0977f9c16502,201.10.141.151,Oracle WebLogic Server Plug-in Remote Overflow (1166189),41
fdc97bfe-268b-41fd-91ed-1893883b13e9,79.184.88.88,Oracle WebLogic Server mod_wl POST Request Remote Overflow,93
1d929cd1-bdf4-4597-aeb2-0d959eff3a5a,29.148.80.121,KB4586805: Windows 7 and Windows Server 2008 R2 November 2020 Security Update,54
8628652e-4eae-4bb6-adfa-47d229278b28,237.62.251.21,Brocade Fabric OS Default Credentials,53
8a2130bd-b249-4d8c-bb31-cfab27e94198,254.150.88.142,Oracle WebLogic Server mod_wl Invalid Parameter Remote Overflow (1150354),26
acf91bcd-384d-4a4a-89e4-b8138fdeecdd,2.25.181.181,Insecure .net framework 4.0,97
5611d7e4-8cc1-4fb3-9af0-8751eb5f042e,206.68.75.94,MailEnable WebMail Detection,55
32c68170-d48c-447c-b4e5-9e8c4376d0a5,194.26.184.38,VMware ESX / ESXi Multiple Vulnerabilities (VMSA-2012-0005) (BEAST) (remote check),42
6f15fa0b-6f60-4618-b132-67856e6d27fb,150.93.106.16,File Content Disclosure /etc/passwd,50
35e632d7-f0dc-49f5-8518-3cab593190e1,156.185.127.68,KB4586823: Windows 8.1 and Windows Server 2012 R2 November 2020 Security Update,38
2280c74e-f3b9-4fdf-bafb-cdf19273a160,100.34.68.89,Brocade Fabric OS Default Credentials,81
b442e568-e0fb-40ed-bed1-df34b7ca203e,139.58.16.1,Account Takeover via Forgot Password,71
d955d773-0519-45b0-a8a4-53ed375b0e23,10.128.35.79,Unsupported Cisco Operating System,42
a64acd30-64c7-4f05-8c5e-40975b2b0fc6,133.15.4.45,Apache Struts2 Remote Command Execution,48
ce60850c-cbf8-4da1-b555-3c55daee99e3,130.226.238.118,Insecure Kentico version 8.1 is running,11
561e520d-a7e0-45c6-9c8a-323e715ad216,81.62.129.251,BSD Based FTP Server Multiple glob Function Remote Overflow,31
f84dcdd7-2c6a-48f2-afe8-57bbd3b66b5f,200.15.194.52,Apache Struts2 Remote Command Execution,16
f5821442-7d9d-4f15-9fc5-e66b74df88f4,205.170.195.204,VMware ESX / ESXi Multiple Vulnerabilities (VMSA-2012-0005) (BEAST) (remote check),17
812439b3-00ed-4136-94c7-a4ffacd0316c,10.128.35.79,Google Chrome < 87.0.4280.88 Multiple Vulnerabilities,92
455c4f4c-170c-4cdc-b24c-bbe0d7b10576,62.224.210.247,Insecure Kentico version 8.1 is running,85
891e0f30-eb08-4c14-9052-a10eba62ad02,247.41.39.120,Temporary File Download,88
edc71662-c585-4cc0-8895-72ee10655414,244.192.45.95,JBoss Java Object Deserialization RCE,88
858e48ab-865d-4531-b682-0b19722b146c,130.226.238.118,Mozilla Firefox ESR < 78.6,96
baf32f2e-1ec2-4a4f-9bd8-6de03590f1a6,88.253.242.192,Apache OpenOffice < 4.1.8 Arbitrary Code Execution,2
4da06e07-82f7-4a39-a008-c5f1f1f8eb80,118.127.3.27,KB4586823: Windows 8.1 and Windows Server 2012 R2 November 2020 Security Update,29
9f243adb-5c07-46b0-b938-7cbb35523c70,199.248.86.27,Insecure .net framework 4.0,98
e39d482d-21ad-47a9-8647-7303aadd1cae,131.42.79.221,Unsupported Cisco Operating System,20
d843327c-f0da-4761-80c3-0e502504cb3e,60.83.159.99,KB4586793: Windows 10 Version 1809 and Windows Server 2019 November 2020 Security Update,13
6fb57492-81e9-4624-97f9-5b51af802fd2,209.119.227.238,Unsupported Cisco Operating System,34
fe0a9cc3-e189-4ce2-b6d2-cc8e2668aba3,200.15.194.52,File Content Disclosure /etc/passwd,73
8c3bfa90-7536-4010-b98d-171f7d5740d3,234.130.35.103,Apache ActiveMQ Detection,82
7291fd5d-8a8a-4122-8201-8b58ae5d7e9f,42.240.26.60,KB4586823: Windows 8.1 and Windows Server 2012 R2 November 2020 Security Update,25
d21edeac-ad79-41db-ae07-ff3a4bc92016,16.196.99.124,Oracle Error Log Found,53
4bd48742-3a1c-4dce-a231-9089061bb62e,209.76.2.123,NTMail3 Arbitrary Mail Relay,45
c402293a-1155-44dc-b521-b2da5c29e445,205.170.195.204,File Content Disclosure /etc/passwd,15
2e60117e-a35a-4eef-b3bb-83b6111f04b9,255.89.85.142,Oracle Error Log Found,4
8aeb6ca5-fa53-4532-b81d-964d032c0e27,158.6.226.19,MailEnable WebMail Detection,68
6fdfb30e-1aba-45e8-8d53-e97097ce6eac,190.168.142.189,Microsoft Windows 95/98/ME Unsupported Installation Detection,93
7b72fbc5-3d77-4dc6-a3ed-13f5f379773a,60.83.159.99,File Content Disclosure /etc/passwd,42
ed514c15-e11a-400f-88ae-4721ca412bd7,52.79.75.53,Insecure .net framework 4.0,52
153345bd-0953-4115-977a-26d5fc4a7109,209.119.227.238,Oracle WebLogic Server mod_wl Invalid Parameter Remote Overflow (1150354),94
767bb871-d3b5-4f5e-9e6d-5296782dc586,68.138.160.33,Insecure .net framework 4.0,39
d82da77f-23c1-4dde-bf8b-11e7081e7dd8,197.250.224.86,Oracle WebLogic Server mod_wl POST Request Remote Overflow,55
085c7ca4-6317-4588-8710-267a6469f1ff,134.164.219.117,KB4586805: Windows 7 and Windows Server 2008 R2 November 2020 Security Update,93
df296381-a7a2-4db4-91b9-aa7a93886661,212.43.50.247,Temporary File Download,72
f348927a-b381-42e1-9b71-112ff17fe03d,185.204.254.63,VMware ESX / ESXi Multiple Vulnerabilities (VMSA-2012-0005) (BEAST) (remote check),34
fefa0bd5-bec4-416c-a781-8c754f1b7328,198.21.121.206,Insecure Apache version 2.2.15,52
c7bc003d-badf-467a-bb2a-ae18f395a4d3,201.10.141.151,Password Spraying Attack,71
735f580a-1c90-4f2b-ac92-31e204cfa3c5,255.89.85.142,JBoss Java Object Deserialization RCE,80
dc690d48-6994-402e-8598-171a0418df73,173.78.199.190,Unsupported Cisco Operating System,38
f40cc2e6-6560-45bb-bcf8-a671f6f51e5e,2.25.181.181,Google Chrome < 87.0.4280.66 Multiple Vulnerabilities,64
17490ec5-9fcf-4a52-ba40-2dfba6e9add5,130.226.238.118,Apache Struts2 Remote Command Execution,98
c6924ba2-f41e-4050-9acc-3c57513263aa,173.78.199.190,Insecure .net framework 4.0,2
393bac10-4f0e-4cc2-8c0a-86132d4ee327,2.157.228.76,Google Chrome < 87.0.4280.66 Multiple Vulnerabilities,75
06564b6a-bf2d-4654-9373-fdb21ecc870d,139.58.16.1,Account Takeover via Forgot Password,54
67e90254-e26e-4047-a221-de2c3a2a7f41,205.232.251.3,BSD Based FTP Server Multiple glob Function Remote Overflow,14
b027c5f5-7e18-479e-bc0e-541c0aaf2729,190.168.142.189,Exposure of Application source code config files and credentials,12
8a4a070e-c8c1-47a9-a5c2-43388b85eda1,34.142.3.137,MailEnable WebMail Detection,38
3b95178f-c51c-4a44-b19d-117c984fb470,110.219.57.216,Temporary File Download,34
e5791519-e6fa-4ff1-a23f-806d2f336a8a,35.164.19.92,KB4586793: Windows 10 Version 1809 and Windows Server 2019 November 2020 Security Update,35
242adc3f-5e11-4e2b-908a-7590470ac49b,237.62.251.21,Oracle WebLogic Server mod_wl POST Request Remote Overflow,80
dfbfd284-cd93-49e6-9ecb-728a2886bac4,118.127.3.27,Apache Struts2 Remote Command Execution,23
a6983249-2160-42d7-9929-deca8fda9040,212.43.50.247,Brocade Fabric OS Default Credentials,46
7efcc988-c419-468b-a058-5af559b90a04,118.151.172.176,Unrestricted File Upload,46
ae40345c-64d2-4bd6-940f-704cfcb811e8,29.148.80.121,Google Chrome < 87.0.4280.66 Multiple Vulnerabilities,81
6c3bc21d-d7c9-40cd-ad9d-29256bf7eb95,42.109.146.100,Bind Shell Backdoor Detection,74
83882d7b-0562-4dd4-8b7d-f8a451f855f1,205.204.5.194,Docker remote API detection,11
6feea7cb-b379-472b-9447-eef7d1056a18,195.131.179.122,Insecure Apache version 2.2.15,67
72bf1b6b-f7c1-45cf-b924-e4aa87da33a4,16.196.99.124,Unsupported Cisco Operating System,47
d4272e25-7700-4697-9ca5-9c3b17f826a9,2.157.228.76,Insecure Kentico version 8.1 is running,64
ad20ccc8-8869-43eb-a1b8-f55658415383,246.8.156.194,Brocade Fabric OS Default Credentials,51
